店舗名,カテゴリ,メニュー名,カロリー,たんぱく質 (g),脂質 (g),炭水化物 (g)
ココス,セット&サイドオーダー,追加ビーフカレー,125,4.0,7.6,9.7
ココス,セット&サイドオーダー,追加目玉焼き,81,6.3,6.1,0.2
ココス,セット&サイドオーダー,追加タルタルソース,81,1.2,7.7,1.5
ココス,セット&サイドオーダー,追加おろしポン酢,35,1.7,0.1,7.1
ココス,ピザ・サイドメニュー,【単品】本気の唐揚げ(2ヶ),206,11.9,10.5,13.7
ココス,ピザ・サイドメニュー,【単品】北海道産紅ズワイガニのクリームコロッケ,363,5.5,29.7,17.9
ココス,ピザ・サイドメニュー,【単品】海老フライ,258,7.4,17.5,17.7
ココス,ココスのプレミアムモーニング,ココスモーニング～キャラメリゼバナナワッフル～,1084,38.3,66.1,82.6
ココス,ココスのプレミアムモーニング,茜美人の目玉焼きモーニング,752,26.8,48.2,52.9
ココス,ココスのプレミアムモーニング,茜美人のスクランブルモーニング,850,27.6,57.3,56.2
ココス,ココスのプレミアムモーニング,ワッフルオープンサンド～ベーコン・エッグ・チーズ～,648,28.6,39.8,44.4
ココス,ココスのプレミアムモーニング,至福のワッフル～ホイップ＆バニラアイス～,970,14.3,49.2,119.3
ココス,ココスのプレミアムモーニング,トーストモーニング,702,25.3,41.1,56.1
ココス,ココスのプレミアムモーニング,【サイドオーダー】目玉焼き,89,6.3,7.0,0.2
ココス,ココスのプレミアムモーニング,朝のフルーツサラダ,87,1.1,2.9,16.2
ココス,ココスのプレミアムモーニング,フルーツヨーグルト,236,6.4,5.3,43.3
ココス,ココスのプレミアムモーニング,包み焼きハンバーグの朝定食,719,27.0,28.2,87.8
ココス,ココスのプレミアムモーニング,茜美人の目玉焼き朝定食,638,27.8,28.1,73.1
ココス,ココスのプレミアムモーニング,茜美人の卵かけご飯,381,13.9,7.8,67.5
ココス,ココスのプレミアムモーニング,銀鮭の朝定食～鬼おろし添え～,575,26.5,21.1,73.7
ココス,ココスのプレミアムモーニング,【サイドオーダー】生卵,74,6.3,5.3,0.2
ココス,ココスのプレミアムモーニング,【サイドオーダー】納豆,39,3.1,2.2,2.6
ココス,ココスのプレミアムモーニング,【サイドオーダー】朝のみそ汁,34,2.4,0.9,4.3
ココス,ココスのプレミアムモーニング,【サイドオーダー】朝のサラダ,31,0.5,1.9,3.2
ココス,ココスのプレミアムモーニング,【サイドオーダー】燻製ベーコン１枚,84,4.2,7.4,0.0
ココス,ココスのプレミアムモーニング,【サイドオーダー】ライス,250,4.0,0.5,59.4
ココス,ココスのプレミアムモーニング,【サイドオーダー】銀鮭～鬼おろし添え～,165,12.4,11.4,3.3
ココス,ココスのプレミアムモーニング,【単品メニュー】とん汁,96,5.7,3.7,9.9
ココス,ココスのプレミアムモーニング,【単品メニュー】トースト ゆで玉子付き,380,14.2,13.8,48.2
ココス,ココスのプレミアムモーニング,【単品メニュー】ハーフメイプルバターワッフル,308,5.8,13.6,40.8
ココス,ココスのプレミアムモーニング,【単品メニュー】メイプルバターワッフル,578,11.6,23.1,81.5
ココス,ココスのプレミアムモーニング,【単品メニュー】モーニングコーンスープ,121,3.4,4.5,16.2
ココス,ココスのプレミアムモーニング,【単品メニュー】モーニングカリカリポテト,466,3.1,33.7,37.6
ココス,ココスのプレミアムモーニング,【単品メニュー】ヨーグルト&グラノーラ,118,3.6,3.4,18.8
ココス,ココスのプレミアムモーニング,【単品メニュー】モーニングCoCoプリン,240,4.2,16.7,18.6
ココス,ココスのプレミアムモーニング,【単品メニュー】モーニングコーヒーゼリー,159,1.1,8.4,21.6
ココス,ココスのプレミアムモーニング,【単品メニュー】モーニングガトーショコラ,340,5.1,22.6,29.4
ココス,ココスのプレミアムモーニング,【サイドオーダー】追加ふわとろホイップ,140,1.0,11.8,7.8
